id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label
1,1,1,2,15,1,2026-06-11 13:00:00-06,Group A
2,2,3,4,14,1,2026-06-11 20:00:00-06,Group A
3,3,5,6,12,1,2026-06-12 15:00:00-04,Group B
4,4,13,14,6,1,2026-06-12 18:00:00-07,Group D
5,5,7,8,10,1,2026-06-13 12:00:00-07,Group B
6,6,11,12,8,1,2026-06-13 18:00:00-04,Group C
7,7,9,10,2,1,2026-06-13 21:00:00-04,Group C
8,8,15,16,13,1,2026-06-13 21:00:00-07,Group D
9,9,19,20,4,1,2026-06-14 12:00:00-05,Group E
10,10,21,22,3,1,2026-06-14 15:00:00-05,Group F
11,11,17,18,9,1,2026-06-14 19:00:00-04,Group E
12,12,23,24,16,1,2026-06-14 20:00:00-06,Group F
13,13,31,32,1,1,2026-06-15 12:00:00-04,Group H
14,14,27,28,11,1,2026-06-15 12:00:00-07,Group G
15,15,29,30,7,1,2026-06-15 18:00:00-04,Group H
16,16,25,26,6,1,2026-06-15 18:00:00-07,Group G
17,17,33,34,8,1,2026-06-16 15:00:00-04,Group I
18,18,35,36,2,1,2026-06-16 18:00:00-04,Group I
19,19,37,38,5,1,2026-06-16 20:00:00-05,Group J
20,20,39,40,10,1,2026-06-16 21:00:00-07,Group J
21,21,41,42,4,1,2026-06-17 12:00:00-05,Group K
22,22,47,48,3,1,2026-06-17 15:00:00-05,Group L
23,23,45,46,12,1,2026-06-17 19:00:00-04,Group L
24,24,43,44,15,1,2026-06-17 20:00:00-06,Group K
25,25,4,2,1,1,2026-06-18 12:00:00-04,Group A
26,26,8,6,6,1,2026-06-18 12:00:00-07,Group B
27,27,5,7,13,1,2026-06-18 15:00:00-07,Group B
28,28,1,3,14,1,2026-06-18 19:00:00-06,Group A
29,29,13,15,11,1,2026-06-19 12:00:00-07,Group D
30,30,10,12,2,1,2026-06-19 18:00:00-04,Group C
31,31,11,9,9,1,2026-06-19 20:30:00-04,Group C
32,32,16,14,10,1,2026-06-19 20:00:00-07,Group D
33,33,21,23,4,1,2026-06-20 12:00:00-05,Group F
34,34,19,17,12,1,2026-06-20 16:00:00-04,Group E
35,35,18,20,5,1,2026-06-20 19:00:00-05,Group E
36,36,24,22,16,1,2026-06-20 22:00:00-06,Group F
37,37,31,29,1,1,2026-06-21 12:00:00-04,Group H
38,38,27,25,6,1,2026-06-21 12:00:00-07,Group G
39,39,30,32,7,1,2026-06-21 18:00:00-04,Group H
40,40,26,28,13,1,2026-06-21 18:00:00-07,Group G
41,41,37,39,3,1,2026-06-22 12:00:00-05,Group J
42,42,33,35,9,1,2026-06-22 17:00:00-04,Group I
43,43,36,34,8,1,2026-06-22 20:00:00-04,Group I
44,44,40,38,10,1,2026-06-22 20:00:00-07,Group J
45,45,41,43,4,1,2026-06-23 12:00:00-05,Group K
46,46,47,45,2,1,2026-06-23 16:00:00-04,Group L
47,47,46,48,12,1,2026-06-23 19:00:00-04,Group L
48,48,44,42,14,1,2026-06-23 20:00:00-06,Group K
49,49,8,5,13,1,2026-06-24 12:00:00-07,Group B
50,50,6,7,11,1,2026-06-24 12:00:00-07,Group B
51,51,10,11,7,1,2026-06-24 18:00:00-04,Group C
52,52,12,9,1,1,2026-06-24 18:00:00-04,Group C
53,53,4,1,15,1,2026-06-24 19:00:00-06,Group A
54,54,2,3,16,1,2026-06-24 19:00:00-06,Group A
55,55,20,17,9,1,2026-06-25 16:00:00-04,Group E
56,56,18,19,8,1,2026-06-25 16:00:00-04,Group E
57,57,22,23,3,1,2026-06-25 18:00:00-05,Group F
58,58,24,21,5,1,2026-06-25 18:00:00-05,Group F
59,59,16,13,6,1,2026-06-25 19:00:00-07,Group D
60,60,14,15,10,1,2026-06-25 19:00:00-07,Group D
61,61,36,33,2,1,2026-06-26 15:00:00-04,Group I
62,62,34,35,12,1,2026-06-26 15:00:00-04,Group I
63,63,32,29,4,1,2026-06-26 19:00:00-05,Group H
64,64,30,31,14,1,2026-06-26 18:00:00-06,Group H
65,65,28,25,11,1,2026-06-26 20:00:00-07,Group G
66,66,26,27,13,1,2026-06-26 20:00:00-07,Group G
67,67,46,47,8,1,2026-06-27 17:00:00-04,Group L
68,68,48,45,9,1,2026-06-27 17:00:00-04,Group L
69,69,44,41,7,1,2026-06-27 19:30:00-04,Group K
70,70,42,43,1,1,2026-06-27 19:30:00-04,Group K
71,71,38,39,5,1,2026-06-27 21:00:00-05,Group J
72,72,40,37,3,1,2026-06-27 21:00:00-05,Group J
